Err?=(aucune)/besoin |/:Err?=(aucune)/besoin:Réinstallation:(État,Err::majuscule=mauvais) 
Nom ||/:Nom:Version:Architecture:Description 
gir1.2-gucharmap-2.90:amd64 ii:gir1.2-gucharmap-2.90:amd64:1:13.0.5-1:amd64:GObject:introspection:data:for:the:Unicode:browser:widget:library 113.0.51
gir1.2-gweather-3.0:amd64 ii:gir1.2-gweather-3.0:amd64:3.36.1-3:amd64:GObject:introspection:data:for:the:GWeather:library 3.36.13
gir1.2-handy-0.0:amd64 ii:gir1.2-handy-0.0:amd64:0.0.13-3:amd64:GObject:introspection:files:for:libhandy 0.0.133
gir1.2-handy-1:amd64 ii:gir1.2-handy-1:amd64:1.0.3-2:amd64:GObject:introspection:files:for:libhandy 1.0.32
gir1.2-harfbuzz-0.0:amd64 ii:gir1.2-harfbuzz-0.0:amd64:2.7.4-1:amd64:OpenType:text:shaping:engine:(GObject:introspection:data) 2.7.41
gir1.2-ibus-1.0:amd64 ii:gir1.2-ibus-1.0:amd64:1.5.23-2:amd64:Intelligent:Input:Bus:-:introspection:data 1.5.232
gir1.2-javascriptcoregtk-4.0:amd64 ii:gir1.2-javascriptcoregtk-4.0:amd64:2.38.5-1~deb11u1:amd64:JavaScript:engine:library:from:WebKitGTK:-:GObject:introspection:data 2.38.51111
gir1.2-json-1.0:amd64 ii:gir1.2-json-1.0:amd64:1.6.2-1:amd64:GLib:JSON:manipulation:library:(introspection:data) 1.6.21
gir1.2-lokdocview-0.1 ii:gir1.2-lokdocview-0.1:1:7.0.4-4+deb11u4:amd64:GTK3:widget:wrapping:LibreOffice:functionality:-:introspection 17.0.44
gir1.2-malcontent-0:amd64 ii:gir1.2-malcontent-0:amd64:0.10.0-2:amd64:GObject:introspection:bindings:for:libmalcontent 0.10.02
gir1.2-mediaart-2.0:amd64 ii:gir1.2-mediaart-2.0:amd64:1.9.4-3:amd64:GObject:introspection:data:for:MediaArt:library 1.9.43
gir1.2-mutter-7:amd64 ii:gir1.2-mutter-7:amd64:3.38.6-2~deb11u2:amd64:GObject:introspection:data:for:Mutter 3.38.62112
gir1.2-nm-1.0:amd64 ii:gir1.2-nm-1.0:amd64:1.30.6-1+deb11u1:amd64:GObject:introspection:data:for:the:libnm:library 1.30.61
gir1.2-nma-1.0:amd64 ii:gir1.2-nma-1.0:amd64:1.8.30-1:amd64:GObject:introspection:data:for:libnma 1.8.301
gir1.2-notify-0.7:amd64 ii:gir1.2-notify-0.7:amd64:0.7.9-3:amd64:sends:desktop:notifications:to:a:notification:daemon:(Introspection:files) 0.7.93
gir1.2-packagekitglib-1.0 ii:gir1.2-packagekitglib-1.0:1.2.2-2:amd64:GObject:introspection:data:for:the:PackageKit:GLib:library 1.2.22
gir1.2-pango-1.0:amd64 ii:gir1.2-pango-1.0:amd64:1.46.2-3:amd64:Layout:and:rendering:of:internationalized:text:-:gir:bindings 1.46.23
gir1.2-peas-1.0:amd64 ii:gir1.2-peas-1.0:amd64:1.28.0-2+b1:amd64:Application:plugin:library:(introspection:files) 1.28.02
gir1.2-polkit-1.0 ii:gir1.2-polkit-1.0:0.105-31+deb11u1:amd64:GObject:introspection:data:for:PolicyKit 0.10531
gir1.2-rb-3.0:amd64 ii:gir1.2-rb-3.0:amd64:3.4.4-4:amd64:GObject:introspection:data:for:the:rhythmbox:music:player 3.4.44
gir1.2-rest-0.7 ii:gir1.2-rest-0.7:0.8.1-1.1:amd64:REST:service:access:library:(introspection:files) 0.8.11.1
gir1.2-rsvg-2.0:amd64 ii:gir1.2-rsvg-2.0:amd64:2.50.3+dfsg-1:amd64:gir:files:for:renderer:library:for:SVG:files 2.50.3
gir1.2-secret-1:amd64 ii:gir1.2-secret-1:amd64:0.20.4-2:amd64:Secret:store:(GObject-Introspection) 0.20.42
gir1.2-soup-2.4:amd64 ii:gir1.2-soup-2.4:amd64:2.72.0-2:amd64:GObject:introspection:data:for:the:libsoup:HTTP:library 2.72.02
gir1.2-totem-1.0:amd64 ii:gir1.2-totem-1.0:amd64:3.38.0-2:amd64:GObject:introspection:data:for:Totem:media:player 3.38.02
gir1.2-totemplparser-1.0:amd64 ii:gir1.2-totemplparser-1.0:amd64:3.26.5-5:amd64:GObject:introspection:data:for:the:Totem:Playlist:Parser:library 3.26.55
gir1.2-tracker-2.0:amd64 ii:gir1.2-tracker-2.0:amd64:2.3.6-2:amd64:GObject:introspection:data:for:Tracker 2.3.62
gir1.2-upowerglib-1.0:amd64 ii:gir1.2-upowerglib-1.0:amd64:0.99.11-2:amd64:GObject:introspection:data:for:upower 0.99.112
gir1.2-vte-2.91:amd64 ii:gir1.2-vte-2.91:amd64:0.62.3-1:amd64:GObject:introspection:data:for:the:VTE:library 0.62.31
gir1.2-webkit2-4.0:amd64 ii:gir1.2-webkit2-4.0:amd64:2.38.5-1~deb11u1:amd64:Web:content:engine:library:for:GTK:-:GObject:introspection:data 2.38.51111
gir1.2-wnck-3.0:amd64 ii:gir1.2-wnck-3.0:amd64:3.36.0-1:amd64:GObject:introspection:data:for:the:WNCK:library 3.36.01
gir1.2-zpj-0.0:amd64 ii:gir1.2-zpj-0.0:amd64:0.0.3-5:amd64:GObject:introspection:data:for:the:libzapojit:library 0.0.35
git ii:git:1:2.30.2-1+deb11u2:amd64:fast,:scalable,:distributed:revision:control:system 12.30.21
git-man ii:git-man:1:2.30.2-1+deb11u2:all:fast,:scalable,:distributed:revision:control:system:(manual:pages) 12.30.21
gjs ii:gjs:1.66.2-1:amd64:Mozilla-based:javascript:bindings:for:the:GNOME:platform 1.66.21
gkbd-capplet ii:gkbd-capplet:3.26.1-1:amd64:GNOME:control:center:tools:for:libgnomekbd 3.26.11
glib-networking:amd64 ii:glib-networking:amd64:2.66.0-2:amd64:network-related:giomodules:for:GLib 2.66.02
glib-networking-common ii:glib-networking-common:2.66.0-2:all:network-related:giomodules:for:GLib:-:data:files 2.66.02
glib-networking-services ii:glib-networking-services:2.66.0-2:amd64:network-related:giomodules:for:GLib:-:D-Bus:services 2.66.02
gnome ii:gnome:1:3.38+3:amd64:Full:GNOME:Desktop:Environment,:with:extra:components 13.38
gnome-2048 ii:gnome-2048:3.38.0-1:amd64:sliding:tile:puzzle:game 3.38.01
gnome-accessibility-themes ii:gnome-accessibility-themes:3.28-1:all:High:Contrast:GTK+:2:theme:and:icons 3.281
gnome-backgrounds ii:gnome-backgrounds:3.38.0-1:all:Set:of:backgrounds:packaged:with:the:GNOME:desktop 3.38.01
gnome-bluetooth ii:gnome-bluetooth:3.34.3-2:amd64:GNOME:Bluetooth:tools 3.34.32
gnome-calculator ii:gnome-calculator:3.38.2-1:amd64:GNOME:desktop:calculator 3.38.21
gnome-calendar ii:gnome-calendar:3.38.2-1:amd64:Calendar:application:for:GNOME 3.38.21
gnome-characters ii:gnome-characters:3.34.0-1:amd64:character:map:application 3.34.01
gnome-chess ii:gnome-chess:1:3.38.0-1:amd64:simple:chess:game 13.38.01
gnome-clocks ii:gnome-clocks:3.38.0-1:amd64:Simple:GNOME:app:with:stopwatch,:timer,:and:world:clock:support 3.38.01
gnome-color-manager ii:gnome-color-manager:3.36.0-1:amd64:Color:management:integration:for:the:GNOME:desktop:environment 3.36.01
gnome-contacts ii:gnome-contacts:3.38.1-1+b1:amd64:Contacts:manager:for:GNOME 3.38.11
gnome-control-center ii:gnome-control-center:1:3.38.4-1:amd64:utilities:to:configure:the:GNOME:desktop 13.38.41
gnome-control-center-data ii:gnome-control-center-data:1:3.38.4-1:all:configuration:applets:for:GNOME:-:data:files 13.38.41
gnome-core ii:gnome-core:1:3.38+3:amd64:GNOME:Desktop:Environment:--:essential:components 13.38
gnome-desktop3-data ii:gnome-desktop3-data:3.38.5-3:all:Common:files:for:GNOME:desktop:apps 3.38.53
gnome-disk-utility ii:gnome-disk-utility:3.38.2-1:amd64:manage:and:configure:disk:drives:and:media 3.38.21
gnome-documents ii:gnome-documents:3.34.0-2:amd64:Document:manager:for:GNOME 3.34.02
gnome-font-viewer ii:gnome-font-viewer:3.34.0-2+b1:amd64:font:viewer:for:GNOME 3.34.02
gnome-games ii:gnome-games:1:3.38+3:all:games:for:the:GNOME:desktop 13.38
gnome-getting-started-docs ii:gnome-getting-started-docs:3.38.0-1:all:Help:a:new:user:get:started:in:GNOME 3.38.01
gnome-keyring ii:gnome-keyring:3.36.0-1:amd64:GNOME:keyring:services:(daemon:and:tools) 3.36.01
gnome-keyring-pkcs11:amd64 ii:gnome-keyring-pkcs11:amd64:3.36.0-1:amd64:GNOME:keyring:module:for:the:PKCS#11:module:loading:library 3.36.01
gnome-klotski ii:gnome-klotski:1:3.38.2-1:amd64:Klotski:puzzle:game:for:GNOME 13.38.21
gnome-logs ii:gnome-logs:3.36.0-2:amd64:viewer:for:the:systemd:journal 3.36.02
gnome-mahjongg ii:gnome-mahjongg:1:3.38.3-1:amd64:classic:Eastern:tile:game:for:GNOME 13.38.31
gnome-maps ii:gnome-maps:3.38.6-0+deb11u1:amd64:map:application:for:GNOME 3.38.60
gnome-menus ii:gnome-menus:3.36.0-1:amd64:GNOME:implementation:of:the:freedesktop:menu:specification 3.36.01
gnome-mines ii:gnome-mines:1:3.36.1-1:amd64:popular:minesweeper:puzzle:game:for:GNOME 13.36.11
gnome-music ii:gnome-music:3.36.7-1:amd64:Music:is:the:new:GNOME:music:playing:application 3.36.71
gnome-nibbles ii:gnome-nibbles:1:3.38.2-1:amd64:snake:game,:up:to:four:players 13.38.21
gnome-online-accounts ii:gnome-online-accounts:3.38.0-3:amd64:service:to:manage:online:accounts:for:the:GNOME:desktop 3.38.03
gnome-online-miners ii:gnome-online-miners:3.34.0-2:amd64:Crawls:through:your:online:content 3.34.02
gnome-remote-desktop ii:gnome-remote-desktop:0.1.9-5:amd64:Remote:desktop:daemon:for:GNOME:using:PipeWire 0.1.95
gnome-robots ii:gnome-robots:1:3.38.0-1:amd64:improved:old:BSD:robots:game 13.38.01
gnome-screenshot ii:gnome-screenshot:3.38.0-1:amd64:screenshot:application:for:GNOME 3.38.01
gnome-session ii:gnome-session:3.38.0-4:all:GNOME:Session:Manager:-:GNOME:3:session 3.38.04
gnome-session-bin ii:gnome-session-bin:3.38.0-4:amd64:GNOME:Session:Manager:-:Minimal:runtime 3.38.04
gnome-session-common ii:gnome-session-common:3.38.0-4:all:GNOME:Session:Manager:-:common:files 3.38.04
gnome-settings-daemon ii:gnome-settings-daemon:3.38.2-1:amd64:daemon:handling:the:GNOME:session:settings 3.38.21
gnome-settings-daemon-common ii:gnome-settings-daemon-common:3.38.2-1:all:daemon:handling:the:GNOME:session:settings:-:common:files 3.38.21
gnome-shell ii:gnome-shell:3.38.6-1~deb11u1:amd64:graphical:shell:for:the:GNOME:desktop 3.38.61111
gnome-shell-common ii:gnome-shell-common:3.38.6-1~deb11u1:all:common:files:for:the:GNOME:graphical:shell 3.38.61111
gnome-shell-extension-prefs ii:gnome-shell-extension-prefs:3.38.6-1~deb11u1:amd64:tool:to:enable:/:disable:GNOME:Shell:extensions 3.38.61111
gnome-shell-extensions ii:gnome-shell-extensions:3.38.2-1:all:Extensions:to:extend:functionality:of:GNOME:Shell 3.38.21
gnome-software ii:gnome-software:3.38.1-1:amd64:Software:Center:for:GNOME 3.38.11
gnome-software-common ii:gnome-software-common:3.38.1-1:all:Software:Center:for:GNOME:(common:files) 3.38.11
gnome-sound-recorder ii:gnome-sound-recorder:3.38.1-1:all:simple:and:modern:sound:recorder:for:GNOME 3.38.11
gnome-sudoku ii:gnome-sudoku:1:3.38.0-1:amd64:Sudoku:puzzle:game:for:GNOME 13.38.01
gnome-sushi ii:gnome-sushi:3.38.0-1:amd64:sushi:is:a:quick:previewer:for:nautilus 3.38.01
gnome-system-monitor ii:gnome-system-monitor:3.38.0-1:amd64:Process:viewer:and:system:resource:monitor:for:GNOME 3.38.01
gnome-taquin ii:gnome-taquin:3.38.1-1:amd64:game:to:move:tiles:so:that:they:reach:their:places 3.38.11
gnome-terminal ii:gnome-terminal:3.38.3-1:amd64:GNOME:terminal:emulator:application 3.38.31
gnome-terminal-data ii:gnome-terminal-data:3.38.3-1:all:Data:files:for:the:GNOME:terminal:emulator 3.38.31
gnome-tetravex ii:gnome-tetravex:1:3.38.2-2:amd64:put:tiles:on:a:board:and:match:their:edges:together 13.38.22
gnome-themes-extra:amd64 ii:gnome-themes-extra:amd64:3.28-1:amd64:Adwaita:GTK+:2:theme:—:engine 3.281
gnome-themes-extra-data ii:gnome-themes-extra-data:3.28-1:all:Adwaita:GTK+:2:theme:—:common:files 3.281
gnome-todo ii:gnome-todo:3.28.1-6:amd64:minimalistic:personal:task:manager:designed:to:fit:GNOME:desktop 3.28.16
gnome-todo-common ii:gnome-todo-common:3.28.1-6:all:common:files:for:GNOME:To:Do 3.28.16
gnome-tweaks ii:gnome-tweaks:3.34.0-4:all:tool:to:adjust:advanced:configuration:settings:for:GNOME 3.34.04
gnome-user-docs ii:gnome-user-docs:3.38.2-1:all:GNOME:user:docs 3.38.21
gnome-user-share ii:gnome-user-share:3.34.0-2:amd64:User:level:public:file:sharing:via:WebDAV 3.34.02
gnome-video-effects ii:gnome-video-effects:0.5.0-1:all:Collection:of:GStreamer:effects 0.5.01
gnome-weather ii:gnome-weather:3.36.1-1:all:access:current:conditions:and:forecasts 3.36.11
gnupg ii:gnupg:2.2.27-2+deb11u2:all:GNU:privacy:guard:-:a:free:PGP:replacement 2.2.272
gnupg-l10n ii:gnupg-l10n:2.2.27-2+deb11u2:all:GNU:privacy:guard:-:localization:files 2.2.272
gnupg-utils ii:gnupg-utils:2.2.27-2+deb11u2:amd64:GNU:privacy:guard:-:utility:programs 2.2.272
gpg ii:gpg:2.2.27-2+deb11u2:amd64:GNU:Privacy:Guard:--:minimalist:public:key:operations 2.2.272
gpg-agent ii:gpg-agent:2.2.27-2+deb11u2:amd64:GNU:privacy:guard:-:cryptographic:agent 2.2.272
gpg-wks-client ii:gpg-wks-client:2.2.27-2+deb11u2:amd64:GNU:privacy:guard:-:Web:Key:Service:client 2.2.272
gpg-wks-server ii:gpg-wks-server:2.2.27-2+deb11u2:amd64:GNU:privacy:guard:-:Web:Key:Service:server 2.2.272
gpgconf ii:gpgconf:2.2.27-2+deb11u2:amd64:GNU:privacy:guard:-:core:configuration:utilities 2.2.272
gpgsm ii:gpgsm:2.2.27-2+deb11u2:amd64:GNU:privacy:guard:-:S/MIME:version 2.2.272
gpgv ii:gpgv:2.2.27-2+deb11u2:amd64:GNU:privacy:guard:-:signature:verification:tool 2.2.272
grep ii:grep:3.6-1:amd64:GNU:grep,:egrep:and:fgrep 3.61
grilo-plugins-0.3:amd64 ii:grilo-plugins-0.3:amd64:0.3.12-1:amd64:Framework:for:discovering:and:browsing:media:-:Plugins 0.3.121
groff-base ii:groff-base:1.22.4-6:amd64:GNU:troff:text-formatting:system:(base:system:components) 1.22.46
grub-common ii:grub-common:2.06-3~deb11u5:amd64:GRand:Unified:Bootloader:(common:files) 2.063115
grub-pc ii:grub-pc:2.06-3~deb11u5:amd64:GRand:Unified:Bootloader,:version:2:(PC/BIOS:version) 2.063115
grub-pc-bin ii:grub-pc-bin:2.06-3~deb11u5:amd64:GRand:Unified:Bootloader,:version:2:(PC/BIOS:modules) 2.063115
grub2-common ii:grub2-common:2.06-3~deb11u5:amd64:GRand:Unified:Bootloader:(common:files:for:version:2) 2.063115
gsettings-desktop-schemas ii:gsettings-desktop-schemas:3.38.0-2:all:GSettings:desktop-wide:schemas 3.38.02
gstreamer1.0-clutter-3.0:amd64 ii:gstreamer1.0-clutter-3.0:amd64:3.0.27-2:amd64:Clutter:PLugin:for:GStreamer:1.0 3.0.272
gstreamer1.0-gl:amd64 ii:gstreamer1.0-gl:amd64:1.18.4-2:amd64:GStreamer:plugins:for:GL 1.18.42
gstreamer1.0-gtk3:amd64 ii:gstreamer1.0-gtk3:amd64:1.18.4-2+deb11u1:amd64:GStreamer:plugin:for:GTK+3 1.18.42
gstreamer1.0-libav:amd64 ii:gstreamer1.0-libav:amd64:1.18.4-3:amd64:ffmpeg:plugin:for:GStreamer 1.18.43
gstreamer1.0-packagekit ii:gstreamer1.0-packagekit:1.2.2-2:amd64:GStreamer:plugin:to:install:codecs:using:PackageKit 1.2.22
gstreamer1.0-pipewire:amd64 ii:gstreamer1.0-pipewire:amd64:0.3.19-4:amd64:GStreamer:1.0:plugin:for:the:PipeWire:multimedia:server 0.3.194
gstreamer1.0-plugins-bad:amd64 ii:gstreamer1.0-plugins-bad:amd64:1.18.4-3:amd64:GStreamer:plugins:from:the:"bad":set 1.18.43
gstreamer1.0-plugins-base:amd64 ii:gstreamer1.0-plugins-base:amd64:1.18.4-2:amd64:GStreamer:plugins:from:the:"base":set 1.18.42
gstreamer1.0-plugins-good:amd64 ii:gstreamer1.0-plugins-good:amd64:1.18.4-2+deb11u1:amd64:GStreamer:plugins:from:the:"good":set 1.18.42
gstreamer1.0-plugins-ugly:amd64 ii:gstreamer1.0-plugins-ugly:amd64:1.18.4-2:amd64:GStreamer:plugins:from:the:"ugly":set 1.18.42
gstreamer1.0-pulseaudio:amd64 ii:gstreamer1.0-pulseaudio:amd64:1.18.4-2+deb11u1:amd64:GStreamer:plugin:for:PulseAudio:(transitional:package) 1.18.42
gstreamer1.0-x:amd64 ii:gstreamer1.0-x:amd64:1.18.4-2:amd64:GStreamer:plugins:for:X11:and:Pango 1.18.42
gtk-update-icon-cache ii:gtk-update-icon-cache:3.24.24-4+deb11u2:amd64:icon:theme:caching:utility 3.24.244
gtk2-engines-pixbuf:amd64 ii:gtk2-engines-pixbuf:amd64:2.24.33-2:amd64:pixbuf-based:theme:for:GTK:2 2.24.332
guile-2.2-libs:amd64 ii:guile-2.2-libs:amd64:2.2.7+1-6:amd64:Core:Guile:libraries 2.2.7
gvfs:amd64 ii:gvfs:amd64:1.46.2-1:amd64:userspace:virtual:filesystem:-:GIO:module 1.46.21
gvfs-backends ii:gvfs-backends:1.46.2-1:amd64:userspace:virtual:filesystem:-:backends 1.46.21
gvfs-common ii:gvfs-common:1.46.2-1:all:userspace:virtual:filesystem:-:common:data:files 1.46.21
gvfs-daemons ii:gvfs-daemons:1.46.2-1:amd64:userspace:virtual:filesystem:-:servers 1.46.21
gvfs-fuse ii:gvfs-fuse:1.46.2-1:amd64:userspace:virtual:filesystem:-:fuse:server 1.46.21
gvfs-libs:amd64 ii:gvfs-libs:amd64:1.46.2-1:amd64:userspace:virtual:filesystem:-:private:libraries 1.46.21
gzip ii:gzip:1.10-4+deb11u1:amd64:GNU:compression:utilities 1.104
hicolor-icon-theme ii:hicolor-icon-theme:0.17-2:all:default:fallback:theme:for:FreeDesktop.org:icon:themes 0.172
hitori ii:hitori:3.38.0-1:amd64:logic:puzzle:game:similar:to:sudoku 3.38.01
hoichess ii:hoichess:0.22.0-2:amd64:xboard:compatible:chess:engine:to:play:chess:with 0.22.02
hostname ii:hostname:3.23:amd64:utility:to:set/show:the:host:name:or:domain:name 3.23
hunspell-en-us ii:hunspell-en-us:1:2019.10.06-1:all:English_american:dictionary:for:hunspell 12019.10.061
hunspell-fr ii:hunspell-fr:1:7.0-1:all:French:dictionary:for:hunspell:(dependency:package) 17.01
hunspell-fr-classical ii:hunspell-fr-classical:1:7.0-1:all:French:dictionary:for:hunspell:(classical:version) 17.01
hyphen-en-us ii:hyphen-en-us:2.8.8-7:all:English:(US):hyphenation:patterns 2.8.87
i965-va-driver:amd64 ii:i965-va-driver:amd64:2.4.1+dfsg1-1:amd64:VAAPI:driver:for:Intel:G45:&:HD:Graphics:family 2.4.1
iagno ii:iagno:1:3.38.0-1:amd64:popular:Othello:game:for:GNOME 13.38.01
ibus ii:ibus:1.5.23-2:amd64:Intelligent:Input:Bus:-:core 1.5.232
ibus-data ii:ibus-data:1.5.23-2:all:Intelligent:Input:Bus:-:data:files 1.5.232
ibus-gtk:amd64 ii:ibus-gtk:amd64:1.5.23-2:amd64:Intelligent:Input:Bus:-:GTK2:support 1.5.232
ibus-gtk3:amd64 ii:ibus-gtk3:amd64:1.5.23-2:amd64:Intelligent:Input:Bus:-:GTK3:support 1.5.232
idle ii:idle:3.9.2-3:all:IDE:for:Python:using:Tkinter:(default:version) 3.9.23
idle-python3.9 ii:idle-python3.9:3.9.2-1:all:IDE:for:Python:(v3.9):using:Tkinter 3.9.21
ifrench-gut ii:ifrench-gut:1:1.0-32.1:amd64:French:dictionary:for:ispell:(GUTenberg:version) 11.032.1
ifupdown ii:ifupdown:0.8.36:amd64:high:level:tools:to:configure:network:interfaces 0.8.36
iio-sensor-proxy ii:iio-sensor-proxy:3.0-2:amd64:IIO:sensors:to:D-Bus:proxy 3.02
im-config ii:im-config:0.46-1+deb11u1:all:Input:method:configuration:framework 0.461
init ii:init:1.60:amd64:metapackage:ensuring:an:init:system:is:installed 1.60
init-system-helpers ii:init-system-helpers:1.60:all:helper:tools:for:all:init:systems 1.60
initramfs-tools ii:initramfs-tools:0.140:all:generic:modular:initramfs:generator:(automation) 0.140
initramfs-tools-core ii:initramfs-tools-core:0.140:all:generic:modular:initramfs:generator:(core:tools) 0.140
installation-report ii:installation-report:2.78:all:system:installation:report 2.78
intel-media-va-driver:amd64 ii:intel-media-va-driver:amd64:21.1.1+dfsg1-1:amd64:VAAPI:driver:for:the:Intel:GEN8+:Graphics:family 21.1.1
ipp-usb ii:ipp-usb:0.9.17-3+b4:amd64:Daemon:for:IPP:over:USB:printer:support 0.9.173
iproute2 ii:iproute2:5.10.0-4:amd64:networking:and:traffic:control:tools 5.10.04
iptables ii:iptables:1.8.7-1:amd64:administration:tools:for:packet:filtering:and:NAT 1.8.71
iputils-ping ii:iputils-ping:3:20210202-1:amd64:Tools:to:test:the:reachability:of:network:hosts 3202102021
ipython3 ii:ipython3:7.20.0-1+deb11u1:all:Enhanced:interactive:Python:3:shell 7.20.01
isc-dhcp-client ii:isc-dhcp-client:4.4.1-2.3+deb11u1:amd64:DHCP:client:for:automatically:obtaining:an:IP:address 4.4.12.3
isc-dhcp-common ii:isc-dhcp-common:4.4.1-2.3+deb11u1:amd64:common:manpages:relevant:to:all:of:the:isc-dhcp:packages 4.4.12.3
iso-codes ii:iso-codes:4.6.0-1:all:ISO:language,:territory,:currency,:script:codes:and:their:translations 4.6.01
ispell ii:ispell:3.4.02-2:amd64:International:Ispell:(an:interactive:spelling:corrector) 3.4.022
iw ii:iw:5.9-3:amd64:tool:for:configuring:Linux:wireless:devices 5.93
javascript-common ii:javascript-common:11+nmu1:all:Base:support:for:JavaScript:library:packages 11
kbd ii:kbd:2.3.0-3:amd64:Linux:console:font:and:keytable:utilities 2.3.03
keyboard-configuration ii:keyboard-configuration:1.205:all:system-wide:keyboard:preferences 1.205
klibc-utils ii:klibc-utils:2.0.8-6.1:amd64:small:utilities:built:with:klibc:for:early:boot 2.0.86.1
kmod ii:kmod:28-1:amd64:tools:for:managing:Linux:kernel:modules 281
krb5-locales ii:krb5-locales:1.18.3-6+deb11u3:all:internationalization:support:for:MIT:Kerberos 1.18.36
laptop-detect ii:laptop-detect:0.16:all:system:chassis:type:checker 0.16
less ii:less:551-2:amd64:pager:program:similar:to:more 5512
liba52-0.7.4:amd64 ii:liba52-0.7.4:amd64:0.7.4-20:amd64:library:for:decoding:ATSC:A/52:streams 0.7.420
libaa1:amd64 ii:libaa1:amd64:1.4p5-48:amd64:ASCII:art:library 1.4548
libaacs0:amd64 ii:libaacs0:amd64:0.9.0-2:amd64:free-and-libre:implementation:of:AACS 0.9.02
libabw-0.1-1:amd64 ii:libabw-0.1-1:amd64:0.1.3-1:amd64:library:for:reading:and:writing:AbiWord(tm):documents 0.1.31
libaccountsservice0:amd64 ii:libaccountsservice0:amd64:0.6.55-3:amd64:query:and:manipulate:user:account:information:-:shared:libraries 0.6.553
libacl1:amd64 ii:libacl1:amd64:2.2.53-10:amd64:access:control:list:-:shared:library 2.2.5310
libalgorithm-diff-perl ii:libalgorithm-diff-perl:1.201-1:all:module:to:find:differences:between:files 1.2011
libalgorithm-diff-xs-perl ii:libalgorithm-diff-xs-perl:0.04-6+b1:amd64:module:to:find:differences:between:files:(XS:accelerated) 0.046
libalgorithm-merge-perl ii:libalgorithm-merge-perl:0.08-3:all:Perl:module:for:three-way:merge:of:textual:data 0.083
libamtk-5-0:amd64 ii:libamtk-5-0:amd64:5.2.0-1:amd64:Actions,:Menus:and:Toolbars:Kit:for:GTK+ 5.2.01
libamtk-5-common ii:libamtk-5-common:5.2.0-1:all:Actions,:Menus:and:Toolbars:Kit:for:GTK+:-:architecture-independent:files 5.2.01
libao-common ii:libao-common:1.2.2+20180113-1.1:all:Cross:Platform:Audio:Output:Library:(Common:files) 1.2.2
libao4:amd64 ii:libao4:amd64:1.2.2+20180113-1.1:amd64:Cross:Platform:Audio:Output:Library 1.2.2
libaom0:amd64 ii:libaom0:amd64:1.0.0.errata1-3:amd64:AV1:Video:Codec:Library 1.0.0.13
libapache2-mod-dnssd ii:libapache2-mod-dnssd:0.6-3.2:amd64:Zeroconf:support:for:Apache:2:via:avahi 0.63.2
libapparmor1:amd64 ii:libapparmor1:amd64:2.13.6-10:amd64:changehat:AppArmor:library 2.13.610
libappstream-glib8:amd64 ii:libappstream-glib8:amd64:0.7.18-1:amd64:GNOME:library:to:access:AppStream:services 0.7.181
libappstream4:amd64 ii:libappstream4:amd64:0.14.4-1:amd64:Library:to:access:AppStream:services 0.14.41
libapr1:amd64 ii:libapr1:amd64:1.7.0-6+deb11u2:amd64:Apache:Portable:Runtime:Library 1.7.06
libaprutil1:amd64 ii:libaprutil1:amd64:1.6.1-5+deb11u1:amd64:Apache:Portable:Runtime:Utility:Library 1.6.15
